city,state,pop,query
Temple,GA,5089,Temple GA
Goddard,KS,5084,Goddard KS
Gretna,NE,5083,Gretna NE
Ardsley,NY,5079,Ardsley NY
Viroqua,WI,5079,Viroqua WI
Breckenridge,CO,5078,Breckenridge CO
South Barrington,IL,5077,South Barrington IL
Norway,ME,5077,Norway ME
Highwood,IL,5074,Highwood IL
Glenwood,IA,5073,Glenwood IA
Palmetto,GA,5071,Palmetto GA
Giddings,TX,5067,Giddings TX
Pinckneyville,IL,5066,Pinckneyville IL
Manchester,IA,5065,Manchester IA
Marksville,LA,5065,Marksville LA
Sulphur ,OK,5065,Sulphur  OK
Sea Cliff,NY,5062,Sea Cliff NY
Savannah ,MO,5057,Savannah  MO
Penn Yan,NY,5056,Penn Yan NY
Staunton,IL,5054,Staunton IL
Desloge,MO,5054,Desloge MO
Winona Lake,IN,5053,Winona Lake IN
Poplar Grove,IL,5049,Poplar Grove IL
Kenneth City,FL,5047,Kenneth City FL
Big Bear Lake,CA,5046,Big Bear Lake CA
Canterbury,CT,5045,Canterbury CT
Colona,IL,5045,Colona IL
Sabattus,ME,5044,Sabattus ME
Munroe Falls,OH,5044,Munroe Falls OH
Cheraw,SC,5040,Cheraw SC
Rigby ,ID,5038,Rigby  ID
Forest Hills,TN,5038,Forest Hills TN
Terrell Hills,TX,5037,Terrell Hills TX
Brady,TX,5032,Brady TX
Harpswell,ME,5031,Harpswell ME
Justin,TX,5031,Justin TX
Alva ,OK,5028,Alva  OK
Lakeport,CA,5026,Lakeport CA
Cochran ,GA,5026,Cochran  GA
Berlin,MD,5026,Berlin MD
Dellwood,MO,5025,Dellwood MO
Jackson,CA,5019,Jackson CA
Senoia,GA,5016,Senoia GA
Sergeant Bluff,IA,5015,Sergeant Bluff IA
Fairfax,VT,5014,Fairfax VT
Evansville,WI,5012,Evansville WI
Normandy,MO,5008,Normandy MO
Edgewater,CO,5005,Edgewater CO
Circle Pines,MN,5005,Circle Pines MN
Paxton,MA,5004,Paxton MA
Smithville,TN,5004,Smithville TN
Sonora,CA,5003,Sonora CA
Columbus,WI,4991,Columbus WI
Whitehouse,OH,4990,Whitehouse OH
Willits,CA,4988,Willits CA
Hudson,TX,4986,Hudson TX
Brielle,NJ,4982,Brielle NJ
Demarest,NJ,4981,Demarest NJ
Mendham Borough,NJ,4981,Mendham Borough NJ
Wenham,MA,4979,Wenham MA
North Berwick,ME,4978,North Berwick ME
Warren,MA,4975,Warren MA
Nashville ,GA,4974,Nashville  GA
Headland,AL,4973,Headland AL
Becker,MN,4970,Becker MN
Odenville,AL,4969,Odenville AL
LaBelle,FL,4966,LaBelle FL
Hampden,MA,4966,Hampden MA
Aberdeen,MS,4961,Aberdeen MS
Lindstrom,MN,4956,Lindstrom MN
Salem ,MO,4950,Salem  MO
Mineola,TX,4949,Mineola TX
Bucksport,ME,4944,Bucksport ME
Middletown,MD,4943,Middletown MD
Baxley ,GA,4942,Baxley  GA
Port Allen,LA,4939,Port Allen LA
Vinton,IA,4938,Vinton IA
Creve Coeur,IL,4934,Creve Coeur IL
Luverne ,MN,4934,Luverne  MN
Needles,CA,4931,Needles CA
Island Park,NY,4928,Island Park NY
Rio Communities,NM,4926,Rio Communities NM
Shenandoah,IA,4925,Shenandoah IA
Sparta,TN,4925,Sparta TN
Bisbee,AZ,4923,Bisbee AZ
New Castle,CO,4923,New Castle CO
Saltillo,MS,4922,Saltillo MS
Sheridan,AK,4920,Sheridan AK
Sheridan,AR,4920,Sheridan AR
Moultonborough,NH,4918,Moultonborough NH
Elko New Market,MN,4917,Elko New Market MN
Greenwich Township,NJ,4917,Greenwich Township NJ
Colville,WA,4917,Colville WA
Hoopeston,IL,4915,Hoopeston IL
Barnstead,NH,4915,Barnstead NH
Franklin Borough,NJ,4912,Franklin Borough NJ
Silverton,OH,4908,Silverton OH
Progreso,TX,4904,Progreso TX
Carthage,MS,4901,Carthage MS
Wauchula,FL,4900,Wauchula FL
Palos Park,IL,4899,Palos Park IL
Chittenango,NY,4896,Chittenango NY
Gilmer,TX,4894,Gilmer TX
Harlan,IA,4893,Harlan IA
Hampton Township,NJ,4893,Hampton Township NJ
Cave Creek,AZ,4892,Cave Creek AZ
Spring Lake Heights,NJ,4890,Spring Lake Heights NJ
Saranac Lake,NY,4887,Saranac Lake NY
Fairfield,IL,4883,Fairfield IL
Princeton,MN,4883,Princeton MN
Adairsville,GA,4878,Adairsville GA
Ogallala,NE,4878,Ogallala NE
Flemington,NJ,4876,Flemington NJ
Abbeville,SC,4874,Abbeville SC
Medical Lake,WA,4874,Medical Lake WA
Glendive,MT,4873,Glendive MT
Northfield,NH,4872,Northfield NH
Daleville,AL,4866,Daleville AL
Carmi,IL,4865,Carmi IL
Warren,ME,4865,Warren ME
South Bound Brook,NJ,4863,South Bound Brook NJ
Winnsboro,LA,4862,Winnsboro LA
Crystal Springs,MS,4862,Crystal Springs MS
South Bay,FL,4860,South Bay FL
Omak,WA,4860,Omak WA
Keyser ,WV,4860,Keyser  WV
Holbrook,AZ,4858,Holbrook AZ
Manitou Springs,CO,4858,Manitou Springs CO
Bolton,CT,4858,Bolton CT
Crystal City,MO,4855,Crystal City MO
Deerfield,NH,4855,Deerfield NH
Lincoln,ME,4853,Lincoln ME
Brisbane,CA,4851,Brisbane CA
Boylston,MA,4849,Boylston MA
Denton,MD,4848,Denton MD
Lexington,OH,4848,Lexington OH
Winfield,AL,4845,Winfield AL
Marseilles,IL,4845,Marseilles IL
Columbia,KY,4845,Columbia KY
Georgia,VT,4845,Georgia VT
Penns Grove,NJ,4837,Penns Grove NJ
Vail,CO,4835,Vail CO
Fellsmere,FL,4834,Fellsmere FL
Epsom,NH,4834,Epsom NH
Carrizo Springs,TX,4833,Carrizo Springs TX
Rockingham,VT,4832,Rockingham VT
Waynesville ,MO,4830,Waynesville  MO
Delanco Township,NJ,4824,Delanco Township NJ
Crossett,AK,4822,Crossett AK
Crossett,AR,4822,Crossett AR
Oakwood,GA,4822,Oakwood GA
Newton,NH,4820,Newton NH
Wahoo,NE,4818,Wahoo NE
Windom ,MN,4816,Windom  MN
Tisbury,MA,4815,Tisbury MA
Whiting,IN,4814,Whiting IN
Jeanerette,LA,4813,Jeanerette LA
Waterloo,NY,4810,Waterloo NY
Lonsdale,MN,4809,Lonsdale MN
Alexandria Township,NJ,4809,Alexandria Township NJ
Charlestown,NH,4806,Charlestown NH
Flora,IL,4803,Flora IL
Watertown,MN,4803,Watertown MN
Springhill,LA,4801,Springhill LA
Wellington,OH,4799,Wellington OH
West Salem,WI,4799,West Salem WI
Higginsville,MO,4797,Higginsville MO
Flower Hill,NY,4794,Flower Hill NY
Humboldt,IA,4792,Humboldt IA
Post,TX,4791,Post TX
Ottawa Hills,OH,4790,Ottawa Hills OH
Mountain Grove,MO,4789,Mountain Grove MO
Preston,CT,4788,Preston CT
Piedmont,AL,4787,Piedmont AL
Falfurrias,TX,4787,Falfurrias TX
Springville,AL,4786,Springville AL
Shelley,ID,4785,Shelley ID
Fortville,IN,4784,Fortville IN
Barling,AK,4782,Barling AK
Barling,AR,4782,Barling AR
Mead,CO,4781,Mead CO
Westlake,LA,4781,Westlake LA
Cherokee Village,AK,4780,Cherokee Village AK
Cherokee Village,AR,4780,Cherokee Village AR
Avon,MA,4777,Avon MA
Coldwater,OH,4774,Coldwater OH
Randolph,VT,4774,Randolph VT
Worland,WY,4773,Worland WY
Arnold,PA,4772,Arnold PA
Blythewood,SC,4772,Blythewood SC
Berwick,LA,4771,Berwick LA
Point Pleasant Beach,NJ,4766,Point Pleasant Beach NJ
Paradise,CA,4764,Paradise CA
Tallassee,AL,4763,Tallassee AL
Northvale,NJ,4761,Northvale NJ
East Palestine,OH,4761,East Palestine OH
Richwood,TX,4761,Richwood TX
Indian Wells,CA,4757,Indian Wells CA
Benton,KY,4756,Benton KY
Childersburg,AL,4754,Childersburg AL
Valparaiso,FL,4752,Valparaiso FL
Oak Park Heights,MN,4750,Oak Park Heights MN
Jackson,AL,4748,Jackson AL
Breckenridge Hills,MO,4746,Breckenridge Hills MO
Hollis,ME,4745,Hollis ME
Harrington Park,NJ,4741,Harrington Park NJ
Fremont,NH,4739,Fremont NH
North Brookfield,MA,4735,North Brookfield MA
Grayson,GA,4730,Grayson GA
Rockmart,GA,4730,Rockmart GA
Centreville,MD,4727,Centreville MD
St James ,MN,4727,St James  MN
Madison,ME,4726,Madison ME
Lexington ,MO,4726,Lexington  MO
St Clair,MO,4724,St Clair MO
Chisholm,MN,4723,Chisholm MN
Olympia Fields,IL,4718,Olympia Fields IL
Pendleton,IN,4717,Pendleton IN
Mansfield,LA,4714,Mansfield LA
Beecher,IL,4713,Beecher IL
Morgans Point Resort,TX,4713,Morgans Point Resort TX
Le Claire,IA,4710,Le Claire IA
Allenstown,NH,4707,Allenstown NH
Argyle,TX,4707,Argyle TX
Fox River Grove,IL,4702,Fox River Grove IL
Liberty,NY,4700,Liberty NY
Hinesburg,VT,4698,Hinesburg VT
Dodgeville,WI,4698,Dodgeville WI
West Milton,OH,4697,West Milton OH
Black Diamond,WA,4697,Black Diamond WA
Bremen,IN,4696,Bremen IN
Lebanon,IL,4691,Lebanon IL
Platte City ,MO,4691,Platte City  MO
Elk Ridge,UT,4687,Elk Ridge UT
Hurstbourne,KY,4683,Hurstbourne KY
Kanab,UT,4683,Kanab UT
Watseka,IL,4679,Watseka IL
Aurora,NE,4678,Aurora NE
Shelbyville,IL,4674,Shelbyville IL
Lake Worth,TX,4674,Lake Worth TX
Sherman,IL,4673,Sherman IL
Meadows Place,TX,4671,Meadows Place TX
Commercial Township,NJ,4669,Commercial Township NJ
Manlius,NY,4662,Manlius NY
Hamilton,MT,4659,Hamilton MT
Ellisville,MS,4652,Ellisville MS
Barnwell,SC,4652,Barnwell SC
Mount Ephraim,NJ,4651,Mount Ephraim NJ
Pilot Point,TX,4651,Pilot Point TX
Grafton ,WV,4651,Grafton  WV
Glenburn,ME,4648,Glenburn ME
Sidney,ME,4645,Sidney ME
Breese,IL,4641,Breese IL
Northwood,NH,4641,Northwood NH
Elberton ,GA,4640,Elberton  GA
Sheridan,OR,4639,Sheridan OR
Whiteville,TN,4638,Whiteville TN
Tuscola,IL,4636,Tuscola IL
Rock Hill,MO,4635,Rock Hill MO
Dilworth,MN,4634,Dilworth MN
Robbins,IL,4629,Robbins IL
Kimberly,ID,4626,Kimberly ID
Neptune City,NJ,4626,Neptune City NJ
Highlands,NJ,4621,Highlands NJ
Jay,ME,4620,Jay ME
Clinton,IN,4618,Clinton IN
South Tucson,AZ,4613,South Tucson AZ
Glendale,CO,4613,Glendale CO
Nelsonville,OH,4612,Nelsonville OH
Peculiar,MO,4608,Peculiar MO
Wapato,WA,4607,Wapato WA
White Township,NJ,4606,White Township NJ
Little Falls,NY,4605,Little Falls NY
Whiteland,IN,4599,Whiteland IN
Sauk Centre,MN,4599,Sauk Centre MN
Prospect,KY,4592,Prospect KY
Rockford,MN,4592,Rockford MN
Wellsville,NY,4587,Wellsville NY
La Joya,TX,4587,La Joya TX
Haverhill,NH,4585,Haverhill NH
Freeburg,IL,4582,Freeburg IL
New Boston,TX,4579,New Boston TX
Derby,VT,4579,Derby VT
Stone Park,IL,4576,Stone Park IL
Mount Vernon ,MO,4575,Mount Vernon  MO
Auburn,IL,4574,Auburn IL
Florence,MS,4572,Florence MS
Camanche,IA,4570,Camanche IA
American Falls ,ID,4568,American Falls  ID
Waynesboro,MS,4567,Waynesboro MS
Eldon,MO,4567,Eldon MO
Winchester,IN,4566,Winchester IN
Scott City,MO,4565,Scott City MO
Josephine,TX,4565,Josephine TX
Madisonville,TX,4565,Madisonville TX
Leonardtown,MD,4563,Leonardtown MD
Mabank,TX,4562,Mabank TX
Evansdale,IA,4561,Evansdale IA
Mount Pleasant,TN,4561,Mount Pleasant TN
Delaware Township,NJ,4560,Delaware Township NJ
Clintonville,WI,4559,Clintonville WI
Buhl,ID,4558,Buhl ID
Newton Falls,OH,4557,Newton Falls OH
Canastota,NY,4556,Canastota NY
Menands,NY,4554,Menands NY
Southampton,NY,4550,Southampton NY
New Roads,LA,4549,New Roads LA
Fulton,MS,4542,Fulton MS
Brookfield,MO,4542,Brookfield MO
Haughton,LA,4539,Haughton LA
North Hampton,NH,4538,North Hampton NH
Nowthen,MN,4537,Nowthen MN
Raymond,ME,4536,Raymond ME
Lamar ,MO,4532,Lamar  MO
Hearne,TX,4531,Hearne TX
Ashville,OH,4529,Ashville OH
Oak Hill,TN,4529,Oak Hill TN
Hallsville,TX,4528,Hallsville TX
Mount Vernon,IA,4527,Mount Vernon IA
Lyman,ME,4525,Lyman ME
Crestline,OH,4525,Crestline OH
Seat Pleasant,MD,4522,Seat Pleasant MD
Vassalboro,ME,4520,Vassalboro ME
Lee,NH,4520,Lee NH
Dardanelle,AK,4517,Dardanelle AK
Dardanelle,AR,4517,Dardanelle AR
Archbold,OH,4516,Archbold OH
Oconto,WI,4513,Oconto WI
Tiffin,IA,4512,Tiffin IA
West Wendover,NV,4512,West Wendover NV
GrantValkaria,FL,4509,GrantValkaria FL
Montebello,NY,4507,Montebello NY
Winona,MS,4505,Winona MS
Cornelia,GA,4503,Cornelia GA
Buena,NJ,4501,Buena NJ
West Newbury,MA,4500,West Newbury MA
Greenville,KY,4492,Greenville KY
Shannon Hills,AK,4490,Shannon Hills AK
Shannon Hills,AR,4490,Shannon Hills AR
Brentwood,NH,4490,Brentwood NH
Horseshoe Bay,TX,4490,Horseshoe Bay TX
Manchester,VT,4484,Manchester VT
Milton,NH,4482,Milton NH
Dyersville,IA,4477,Dyersville IA
Phoenix,OR,4475,Phoenix OR
Tulia,TX,4474,Tulia TX
Mountain Lakes,NJ,4472,Mountain Lakes NJ
Hartwell ,GA,4470,Hartwell  GA
Foster,RI,4469,Foster RI
Enfield,NH,4465,Enfield NH
Folkston ,GA,4464,Folkston  GA
Tiptonville,TN,4464,Tiptonville TN
Columbiana,AL,4462,Columbiana AL
Castleton,VT,4458,Castleton VT
Portola Valley,CA,4456,Portola Valley CA
Ottawa,OH,4456,Ottawa OH
Garwood,NJ,4454,Garwood NJ
Georgetown,OH,4453,Georgetown OH
Paxton,IL,4450,Paxton IL
Granite Falls,WA,4450,Granite Falls WA
Diboll,TX,4449,Diboll TX
Madison ,GA,4447,Madison  GA
Hokes Bluff,AL,4446,Hokes Bluff AL
Summerville ,GA,4435,Summerville  GA
Edinburgh,IN,4435,Edinburgh IN
New Lexington,OH,4435,New Lexington OH
Dansville,NY,4433,Dansville NY
Hollister,MO,4426,Hollister MO
Clarkdale,AZ,4424,Clarkdale AZ
Elk Township,NJ,4424,Elk Township NJ
Lafayette,OR,4423,Lafayette OR
La Grange,TX,4423,La Grange TX
Mauston,WI,4423,Mauston WI
DoverFoxcroft,ME,4422,DoverFoxcroft ME
Rogersville,TN,4420,Rogersville TN
Palacios,TX,4418,Palacios TX
Deep River,CT,4415,Deep River CT
Buffalo,WY,4415,Buffalo WY
Dawson ,GA,4414,Dawson  GA
Atlantic Highlands,NJ,4414,Atlantic Highlands NJ
Sullivan,IL,4413,Sullivan IL
Ligonier,IN,4411,Ligonier IN
Ste Genevieve ,MO,4410,Ste Genevieve  MO
Devine,TX,4410,Devine TX
China,ME,4408,China ME
Danville,NH,4408,Danville NH
Silverthorne,CO,4402,Silverthorne CO
Sherborn,MA,4401,Sherborn MA
Caseyville,IL,4400,Caseyville IL
New London,NH,4400,New London NH
Rio Bravo,TX,4400,Rio Bravo TX
Cortland,IL,4398,Cortland IL
Egg Harbor City,NJ,4396,Egg Harbor City NJ
Selmer,TN,4396,Selmer TN
Eagar,AZ,4395,Eagar AZ
Perryville,MD,4391,Perryville MD
Hopewell Township,NJ,4391,Hopewell Township NJ
Colorado City,TX,4391,Colorado City TX
Denver City,TX,4390,Denver City TX
Harrogate,TN,4389,Harrogate TN
Wood Village,OR,4387,Wood Village OR
Ludlow,KY,4385,Ludlow KY
Forsyth ,GA,4384,Forsyth  GA
Deer Park,WA,4383,Deer Park WA
Boonton Township,NJ,4380,Boonton Township NJ
Wayzata,MN,4378,Wayzata MN
Greene,ME,4376,Greene ME
Pittsburg,TX,4374,Pittsburg TX
Waverly,NY,4373,Waverly NY
Ossipee,NH,4372,Ossipee NH
Argo,AL,4368,Argo AL
Adamsville,AL,4366,Adamsville AL
Haleyville,AL,4361,Haleyville AL
Estacada,OR,4356,Estacada OR
Mathis,TX,4354,Mathis TX
La Verkin,UT,4354,La Verkin UT
Kaplan,LA,4352,Kaplan LA
Magnolia,NJ,4352,Magnolia NJ
Osage Beach,MO,4351,Osage Beach MO
Ovilla,TX,4349,Ovilla TX
Mount Orab,OH,4347,Mount Orab OH
Isle of Palms,SC,4347,Isle of Palms SC
Hometown,IL,4343,Hometown IL
St Robert,MO,4340,St Robert MO
Greendale,IN,4339,Greendale IN
Greenfield,OH,4339,Greenfield OH
Hampton,IA,4337,Hampton IA
Wadena ,MN,4335,Wadena  MN
Belton,SC,4335,Belton SC
Garden Ridge,TX,4335,Garden Ridge TX
Lincoln,ND,4334,Lincoln ND
Hubbardston,MA,4328,Hubbardston MA
Newport,MN,4328,Newport MN
DeweyHumboldt,AZ,4326,DeweyHumboldt AZ
Moxee,WA,4326,Moxee WA
Medford,WI,4326,Medford WI
Crescent Springs,KY,4319,Crescent Springs KY
Sykesville,MD,4316,Sykesville MD
Hunters Creek Village,TX,4314,Hunters Creek Village TX
Paintsville,KY,4312,Paintsville KY
Canton,TX,4312,Canton TX
Reedsport,OR,4310,Reedsport OR
Anna,IL,4303,Anna IL
Tontitown,AK,4301,Tontitown AK
Tontitown,AR,4301,Tontitown AR
Le Roy,NY,4300,Le Roy NY
Chatsworth ,GA,4299,Chatsworth  GA
Scottsville,KY,4299,Scottsville KY
Highland Beach,FL,4295,Highland Beach FL
Pocomoke City,MD,4295,Pocomoke City MD
Ashburn ,GA,4291,Ashburn  GA
Barboursville,WV,4291,Barboursville WV
Old Westbury,NY,4289,Old Westbury NY
Vilonia,AK,4288,Vilonia AK
Vilonia,AR,4288,Vilonia AR
Indian Rocks Beach,FL,4286,Indian Rocks Beach FL
Fayette,AL,4285,Fayette AL
Forest City,IA,4285,Forest City IA
Lakewood,IL,4283,Lakewood IL
Bradley Beach,NJ,4282,Bradley Beach NJ
Southside,AK,4279,Southside AK
Southside,AR,4279,Southside AR
Waverly,NE,4279,Waverly NE
California ,MO,4278,California  MO
Coopertown,TN,4278,Coopertown TN
Crandall,TX,4278,Crandall TX
Lonoke,AK,4276,Lonoke AK
Lonoke,AR,4276,Lonoke AR
Malden,MO,4275,Malden MO
Belleair,FL,4273,Belleair FL
Wiggins,MS,4272,Wiggins MS
Mitchell,IN,4269,Mitchell IN
Euharlee,GA,4268,Euharlee GA
Pomfret,CT,4266,Pomfret CT
Arundel,ME,4264,Arundel ME
Medford Lakes,NJ,4264,Medford Lakes NJ
Westville,NJ,4264,Westville NJ
Trenton,TN,4264,Trenton TN
West Peoria,IL,4263,West Peoria IL
Berne,IN,4262,Berne IN
Ashdown,AK,4261,Ashdown AK
Ashdown,AR,4261,Ashdown AR
HoHoKus,NJ,4258,HoHoKus NJ
Farrell,PA,4258,Farrell PA
Prescott,WI,4258,Prescott WI
Cedarville,OH,4257,Cedarville OH
Monte Vista,CO,4247,Monte Vista CO
Geneva,AL,4245,Geneva AL
Huxley,IA,4244,Huxley IA
Indian River Shores,FL,4241,Indian River Shores FL
Lyons ,GA,4239,Lyons  GA
Cannon Falls,MN,4237,Cannon Falls MN
Jonesboro ,GA,4235,Jonesboro  GA
Comanche,TX,4235,Comanche TX
Aumsville,OR,4234,Aumsville OR
Centreville,IL,4232,Centreville IL
Columbus,MN,4231,Columbus MN
Strafford,NH,4230,Strafford NH
Oxford,ME,4229,Oxford ME
Northwoods,MO,4227,Northwoods MO
Fayetteville,NY,4225,Fayetteville NY
Springville,NY,4225,Springville NY
Blanchester,OH,4224,Blanchester OH
Chelan,WA,4222,Chelan WA
Butler ,MO,4219,Butler  MO
Middlefield,CT,4217,Middlefield CT
Spring Valley Village,TX,4217,Spring Valley Village TX
Whitesboro,TX,4217,Whitesboro TX
St James,MO,4216,St James MO
Salem,CT,4213,Salem CT
Woodruff,SC,4212,Woodruff SC
Jacksboro,TX,4209,Jacksboro TX
North Kansas City,MO,4208,North Kansas City MO
Pittsfield,IL,4206,Pittsfield IL
McLendonChisholm,TX,4206,McLendonChisholm TX
Cold Spring,MN,4205,Cold Spring MN
Lisbon,CT,4195,Lisbon CT
Salisbury,CT,4194,Salisbury CT
Chariton,IA,4193,Chariton IA
Ashford,CT,4191,Ashford CT
Sebring,OH,4191,Sebring OH
Valley Grande,AL,4190,Valley Grande AL
Chagrin Falls,OH,4188,Chagrin Falls OH
Shrewsbury Borough,NJ,4184,Shrewsbury Borough NJ
Pilesgrove Township,NJ,4183,Pilesgrove Township NJ
Jefferson,IA,4182,Jefferson IA
Church Point,LA,4179,Church Point LA
Le Sueur,MN,4178,Le Sueur MN
Durham,ME,4173,Durham ME
Cobleskill,NY,4173,Cobleskill NY
DeMotte,IN,4168,DeMotte IN
Ellenville,NY,4167,Ellenville NY
Dimmitt,TX,4167,Dimmitt TX
Richmond,VT,4167,Richmond VT
Waverly,OH,4165,Waverly OH
Lawrenceville,IL,4164,Lawrenceville IL
Carlisle,IA,4160,Carlisle IA
Pipestone ,MN,4160,Pipestone  MN
Monongahela,PA,4159,Monongahela PA
Jena,LA,4155,Jena LA
Surfside Beach,SC,4155,Surfside Beach SC
Nashville,AK,4153,Nashville AK
Nashville,AR,4153,Nashville AR
Winnfield,LA,4153,Winnfield LA
Peotone,IL,4150,Peotone IL
Winchester,NH,4150,Winchester NH
Pleasant View,TN,4149,Pleasant View TN
Friona,TX,4144,Friona TX
Lambertville,NJ,4139,Lambertville NJ
Grafton,ND,4139,Grafton ND
Goodview,MN,4138,Goodview MN
Montesano,WA,4138,Montesano WA
West Jefferson,OH,4137,West Jefferson OH
Sheffield,OH,4135,Sheffield OH
Falls City,NE,4133,Falls City NE
Brandon,VT,4129,Brandon VT
Green Oaks,IL,4128,Green Oaks IL
Jourdanton,TX,4127,Jourdanton TX
Park Rapids ,MN,4122,Park Rapids  MN
Barrington Hills,IL,4114,Barrington Hills IL
Millinocket,ME,4114,Millinocket ME
Cayuga Heights,NY,4114,Cayuga Heights NY
Caldwell,TX,4109,Caldwell TX
Bellville,TX,4108,Bellville TX
Riverdale,NJ,4107,Riverdale NJ
Hamilton,NY,4107,Hamilton NY
Jonesboro,LA,4106,Jonesboro LA
Waverly,TN,4105,Waverly TN
Rice Lake,MN,4101,Rice Lake MN
Sparta,IL,4095,Sparta IL
Austin,IN,4094,Austin IN
Kildeer,IL,4091,Kildeer IL
Sullivan,IN,4089,Sullivan IN
Hazlehurst ,GA,4088,Hazlehurst  GA
Morrison,IL,4085,Morrison IL
North East,MD,4085,North East MD
Jasper ,GA,4084,Jasper  GA
Pittsfield,NH,4075,Pittsfield NH
Westover,WV,4075,Westover WV
North Yarmouth,ME,4072,North Yarmouth ME
Walhalla,SC,4072,Walhalla SC
Millstadt,IL,4071,Millstadt IL
Morgan,UT,4071,Morgan UT
St Bernard,OH,4070,St Bernard OH
Fort Kent,ME,4067,Fort Kent ME
Greenland,NH,4067,Greenland NH
Monmouth,ME,4066,Monmouth ME
Indian Head Park,IL,4065,Indian Head Park IL
Plain City,OH,4065,Plain City OH
Brookland,AK,4064,Brookland AK
Brookland,AR,4064,Brookland AR
Quitman ,GA,4064,Quitman  GA
Woodson Terrace,MO,4063,Woodson Terrace MO
Weston Lakes,TX,4061,Weston Lakes TX
Wellsville,UT,4060,Wellsville UT
Rock Valley,IA,4059,Rock Valley IA
Livingston,TN,4058,Livingston TN
Capitol Heights,MD,4050,Capitol Heights MD
Smithville,TX,4047,Smithville TX
Burnham,IL,4046,Burnham IL
Williamston,SC,4043,Williamston SC
Duncan,SC,4041,Duncan SC
Monticello,IA,4040,Monticello IA
Mills,WY,4034,Mills WY
Dwight,IL,4032,Dwight IL
Point Pleasant ,WV,4031,Point Pleasant  WV
PinetopLakeside,AZ,4030,PinetopLakeside AZ
Vidalia,LA,4027,Vidalia LA
Centralia,MO,4027,Centralia MO
South Chicago Heights,IL,4026,South Chicago Heights IL
Alfred,NY,4026,Alfred NY
Mullins,SC,4026,Mullins SC
Crittenden,KY,4023,Crittenden KY
Fenton,MO,4022,Fenton MO
Bosque Farms,NM,4020,Bosque Farms NM
Mine Hill Township,NJ,4015,Mine Hill Township NJ
Coquille ,OR,4015,Coquille  OR
Candia,NH,4013,Candia NH
Parker,FL,4010,Parker FL
Barnesville,OH,4008,Barnesville OH
Smithton,IL,4006,Smithton IL
Amite City,LA,4005,Amite City LA
Metter ,GA,4004,Metter  GA
Stillwater Township,NJ,4004,Stillwater Township NJ
Dumas,AK,4001,Dumas AK
Dumas,AR,4001,Dumas AR
Boscawen,NH,3998,Boscawen NH
Dupo,IL,3996,Dupo IL
Taylor,AZ,3995,Taylor AZ
Bordentown City,NJ,3993,Bordentown City NJ
Chester,NY,3993,Chester NY
Jackson,LA,3990,Jackson LA
St Charles,MN,3989,St Charles MN
Leland,MS,3988,Leland MS
Cozad,NE,3988,Cozad NE
Mosinee,WI,3988,Mosinee WI
Fredericktown ,MO,3985,Fredericktown  MO
Huntingdon,TN,3985,Huntingdon TN
Basalt,CO,3984,Basalt CO
Mary Esther,FL,3982,Mary Esther FL
Hawkinsville ,GA,3980,Hawkinsville  GA
Rossville,GA,3980,Rossville GA
Wonder Lake,IL,3973,Wonder Lake IL
South Blooming Grove,NY,3973,South Blooming Grove NY
South Russell,OH,3972,South Russell OH
Fairbury,NE,3970,Fairbury NE
Bluffton,OH,3967,Bluffton OH
Grant,MN,3965,Grant MN
Scandia,MN,3963,Scandia MN
Tilton,NH,3962,Tilton NH
Clayton,DE,3961,Clayton DE
Ball,LA,3961,Ball LA
Haskell,AK,3956,Haskell AK
Haskell,AR,3956,Haskell AR
Del Mar,CA,3954,Del Mar CA
Dell Rapids,SD,3953,Dell Rapids SD
Mulberry,FL,3952,Mulberry FL
Rosemont,IL,3952,Rosemont IL
Centerville,MN,3948,Centerville MN
Hinsdale,NH,3948,Hinsdale NH
Marshall,IL,3947,Marshall IL
Castle Hills,TX,3947,Castle Hills TX
Citronelle,AL,3946,Citronelle AL
Gilmanton,NH,3945,Gilmanton NH
Gatlinburg,TN,3944,Gatlinburg TN
Montpelier,OH,3942,Montpelier OH
Clifton,AZ,3933,Clifton AZ
Chilton,WI,3933,Chilton WI
Oaklyn,NJ,3930,Oaklyn NJ
Naples,ME,3925,Naples ME
Ely,NV,3924,Ely NV
Rutland,VT,3924,Rutland VT
Clyde,TX,3923,Clyde TX
East Amwell Township,NJ,3917,East Amwell Township NJ
Coleman,TX,3917,Coleman TX
Elmira Heights,NY,3916,Elmira Heights NY
Woodlawn,OH,3916,Woodlawn OH
Pittsfield,ME,3908,Pittsfield ME
Sullivan City,TX,3905,Sullivan City TX
Metamora,IL,3904,Metamora IL
Lancaster,KY,3899,Lancaster KY
Vandalia,MO,3899,Vandalia MO
Saugerties,NY,3899,Saugerties NY
Swanton,OH,3897,Swanton OH
Norwood Young America,MN,3896,Norwood Young America MN
Wilton,NH,3896,Wilton NH
Madeira Beach,FL,3895,Madeira Beach FL
Williamstown,KY,3894,Williamstown KY
Indian Head,MD,3894,Indian Head MD
Limington,ME,3892,Limington ME
Carrollton,KY,3890,Carrollton KY
Weston ,WV,3890,Weston  WV
Cresco,IA,3888,Cresco IA
Bayport,MN,3885,Bayport MN
Cisco,TX,3883,Cisco TX
Richwood,LA,3881,Richwood LA
Dillon,MT,3880,Dillon MT
Manning,SC,3878,Manning SC
Rocky Ford,CO,3876,Rocky Ford CO
