city,state,pop,query
Galloway Township,NJ,37813,Galloway Township NJ
Prattville,AL,37781,Prattville AL
Pleasant Grove,UT,37726,Pleasant Grove UT
Rome ,GA,37713,Rome  GA
Saratoga Springs,UT,37696,Saratoga Springs UT
Hilton Head Island,SC,37661,Hilton Head Island SC
Riviera Beach,FL,37604,Riviera Beach FL
Oregon City ,OR,37572,Oregon City  OR
La Quinta,CA,37558,La Quinta CA
Hanover Park,IL,37470,Hanover Park IL
DeLand,FL,37351,DeLand FL
Leavenworth ,KS,37351,Leavenworth  KS
Bartlesville ,OK,37290,Bartlesville  OK
Martinez,CA,37287,Martinez CA
Claremont,CA,37266,Claremont CA
Ewing Township,NJ,37264,Ewing Township NJ
Lewiston,ME,37121,Lewiston ME
Monroe Township,NJ,37117,Monroe Township NJ
Hilliard,OH,37114,Hilliard OH
Rock Island,IL,37108,Rock Island IL
Georgetown,KY,37086,Georgetown KY
Pennsauken Township,NJ,37074,Pennsauken Township NJ
Midlothian,TX,37053,Midlothian TX
Copperas Cove,TX,37041,Copperas Cove TX
Natick,MA,37006,Natick MA
Tucker,GA,37005,Tucker GA
Beloit,WI,36966,Beloit WI
Estero,FL,36939,Estero FL
Muskogee ,OK,36878,Muskogee  OK
Wildomar,CA,36875,Wildomar CA
Trumbull,CT,36827,Trumbull CT
Upper Arlington,OH,36800,Upper Arlington OH
FuquayVarina,NC,36736,FuquayVarina NC
Kearns,UT,36723,Kearns UT
Greenfield,WI,36720,Greenfield WI
Andover,MA,36569,Andover MA
Richfield,MN,36527,Richfield MN
Temple City,CA,36494,Temple City CA
Merrillville,IN,36444,Merrillville IN
Farmers Branch,TX,36442,Farmers Branch TX
Cumberland,RI,36405,Cumberland RI
Chelmsford,MA,36392,Chelmsford MA
Moorpark,CA,36284,Moorpark CA
Socorro,TX,36236,Socorro TX
Dunedin,FL,36068,Dunedin FL
Calumet City,IL,36033,Calumet City IL
Midvale,UT,36028,Midvale UT
Texarkana,TX,36017,Texarkana TX
Marion,OH,35999,Marion OH
La Porte,TX,35964,La Porte TX
Lauderdale Lakes,FL,35954,Lauderdale Lakes FL
Roseville,MN,35874,Roseville MN
El Mirage,AZ,35805,El Mirage AZ
Salisbury ,NC,35760,Salisbury  NC
West Hollywood,CA,35757,West Hollywood CA
Tooele,UT,35742,Tooele UT
Gahanna,OH,35726,Gahanna OH
Richmond,IN,35720,Richmond IN
Addison,IL,35702,Addison IL
Coventry,RI,35688,Coventry RI
Myrtle Beach,SC,35682,Myrtle Beach SC
Lake Stevens,WA,35630,Lake Stevens WA
Lima,OH,35579,Lima OH
San Juan,TX,35577,San Juan TX
Inver Grove Heights,MN,35541,Inver Grove Heights MN
Wildwood,MO,35517,Wildwood MO
Torrington,CT,35515,Torrington CT
Wenatchee,WA,35508,Wenatchee WA
Manhattan Beach,CA,35506,Manhattan Beach CA
Franklin,WI,35451,Franklin WI
Brunswick,OH,35426,Brunswick OH
University City,MO,35371,University City MO
Freehold Township,NJ,35369,Freehold Township NJ
Watertown,MA,35329,Watertown MA
Greer,SC,35308,Greer SC
North Ridgeville,OH,35280,North Ridgeville OH
Springville,UT,35268,Springville UT
San Luis,AZ,35257,San Luis AZ
Cedar City,UT,35235,Cedar City UT
Northbrook,IL,35222,Northbrook IL
Mount Vernon,WA,35219,Mount Vernon WA
San Juan Capistrano,CA,35196,San Juan Capistrano CA
Glastonbury,CT,35159,Glastonbury CT
Woodstock,GA,35065,Woodstock GA
Meridian,MS,35052,Meridian MS
Long Beach,NY,35029,Long Beach NY
Benton,AK,35014,Benton AK
Benton,AR,35014,Benton AR
Randolph,MA,34984,Randolph MA
Fair Lawn,NJ,34927,Fair Lawn NJ
San Dimas,CA,34924,San Dimas CA
Hinesville ,GA,34891,Hinesville  GA
Monroe ,NC,34888,Monroe  NC
University Place,WA,34866,University Place WA
Cookeville,TN,34842,Cookeville TN
Mason,OH,34792,Mason OH
College Park,MD,34740,College Park MD
Parkland,FL,34670,Parkland FL
Douglasville ,GA,34650,Douglasville  GA
Plainfield,IN,34625,Plainfield IN
Pleasant Hill,CA,34613,Pleasant Hill CA
Oswego,IL,34585,Oswego IL
Richmond,KY,34585,Richmond KY
Del Rio,TX,34584,Del Rio TX
Goshen,IN,34517,Goshen IN
Fairborn,OH,34510,Fairborn OH
Butte,MT,34494,Butte MT
Stow,OH,34483,Stow OH
Lexington,MA,34454,Lexington MA
Oak Creek,WI,34451,Oak Creek WI
Orange,NJ,34447,Orange NJ
Dalton ,GA,34417,Dalton  GA
Cooper City,FL,34401,Cooper City FL
McMinnville ,OR,34319,McMinnville  OR
Derry,NH,34317,Derry NH
Westlake,OH,34228,Westlake OH
Lewiston ,ID,34203,Lewiston  ID
Woodridge,IL,34158,Woodridge IL
Valparaiso,IN,34151,Valparaiso IN
Prosper,TX,34136,Prosper TX
Sahuarita,AZ,34134,Sahuarita AZ
North Providence,RI,34114,North Providence RI
Lufkin,TX,34074,Lufkin TX
Walla Walla,WA,34060,Walla Walla WA
Gadsden,AL,33945,Gadsden AL
Leawood,KS,33902,Leawood KS
Crown Point,IN,33899,Crown Point IN
Foster City,CA,33805,Foster City CA
Kearney,NE,33790,Kearney NE
Dartmouth,MA,33783,Dartmouth MA
Menlo Park,CA,33780,Menlo Park CA
Manitowoc,WI,33736,Manitowoc WI
Weatherford,TX,33710,Weatherford TX
Deer Park,TX,33676,Deer Park TX
Englewood,CO,33659,Englewood CO
Cottonwood Heights,UT,33617,Cottonwood Heights UT
Harker Heights,TX,33560,Harker Heights TX
Bell,CA,33559,Bell CA
Los Gatos,CA,33529,Los Gatos CA
Cibolo,TX,33475,Cibolo TX
Statesboro ,GA,33438,Statesboro  GA
Houma,LA,33406,Houma LA
Gillette,WY,33403,Gillette WY
Petersburg,VA,33394,Petersburg VA
American Fork,UT,33337,American Fork UT
Alabaster,AL,33284,Alabaster AL
Redmond,OR,33274,Redmond OR
Franklin,MA,33261,Franklin MA
Glendale Heights,IL,33176,Glendale Heights IL
Dana Point,CA,33107,Dana Point CA
St Charles,IL,33081,St Charles IL
Lawrence Township,NJ,33077,Lawrence Township NJ
Spring Valley,NY,33066,Spring Valley NY
Salisbury,MD,33050,Salisbury MD
Kennesaw,GA,33036,Kennesaw GA
Savage,MN,32983,Savage MN
Canton ,GA,32973,Canton  GA
Kiryas Joel,NY,32954,Kiryas Joel NY
Kaysville,UT,32945,Kaysville UT
Panama City,FL,32939,Panama City FL
Andover,MN,32926,Andover MN
Pullman,WA,32901,Pullman WA
Des Moines,WA,32888,Des Moines WA
Brooklyn Center,MN,32880,Brooklyn Center MN
Elk Grove Village,IL,32812,Elk Grove Village IL
Goldsboro ,NC,32749,Goldsboro  NC
Dover,NH,32741,Dover NH
Sherwood,AK,32731,Sherwood AK
Sherwood,AR,32731,Sherwood AR
Windsor,CO,32716,Windsor CO
Beverly Hills,CA,32701,Beverly Hills CA
Goleta,CA,32690,Goleta CA
Kingman,AZ,32689,Kingman AZ
Garfield,NJ,32655,Garfield NJ
Dracut,MA,32617,Dracut MA
Chester,PA,32605,Chester PA
